x,y,label
0.4975,0.0448,Nose
0.4975,0.0862,Nz
0.4328,0.0912,N1h
0.5622,0.0912,N2h
0.3706,0.1061,N1
0.6244,0.1061,N2
0.4975,0.1269,NFpz
0.3109,0.131,AFp9
0.6841,0.131,AFp10
0.4395,0.1318,NFp1h
0.5556,0.1318,NFp2h
0.3831,0.1451,NFp1
0.6119,0.1451,NFp2
0.2554,0.165,AF9
0.7396,0.165,AF10
0.3292,0.1675,AFp9h
0.6658,0.1675,AFp10h
0.4975,0.1683,Fpz
0.4461,0.1725,Fp1h
0.5489,0.1725,Fp2h
0.3955,0.1841,Fp1
0.5995,0.1841,Fp2
0.2794,0.1982,AF9h
0.7156,0.1982,AF10h
0.3483,0.204,AFp7
0.6468,0.204,AFp8
0.2065,0.2065,AFF9
0.3765,0.2065,AFp5
0.6186,0.2065,AFp6
0.7886,0.2065,AFF10
0.4104,0.2081,AFp3
0.5846,0.2081,AFp4
0.4511,0.209,AFp1
0.5439,0.209,AFp2
0.4975,0.2098,AFpz
0.2355,0.2355,AFF9h
0.3234,0.2355,AF7h
0.6716,0.2355,AF8h
0.7595,0.2355,AFF10h
0.3433,0.2396,AF5
0.6517,0.2396,AF6
0.3657,0.243,AF5h
0.6294,0.243,AF6h
0.3889,0.2454,AF3
0.6061,0.2454,AF4
0.4146,0.2479,AF3h
0.5804,0.2479,AF4h
0.4411,0.2496,AF1
0.5539,0.2496,AF2
0.4693,0.2504,AF1h
0.4975,0.2504,AFz
0.5257,0.2504,AF2h
0.165,0.2554,F9
0.83,0.2554,F10
0.2645,0.2645,AFF7
0.7305,0.2645,AFF8
0.2894,0.272,AFF7h
0.7056,0.272,AFF8h
0.3151,0.2778,AFF5
0.6799,0.2778,AFF6
0.1982,0.2794,F9h
0.7968,0.2794,F10h
0.3433,0.2819,AFF5h
0.6517,0.2819,AFF6h
0.3723,0.2861,AFF3
0.6227,0.2861,AFF4
0.4022,0.2886,AFF3h
0.5929,0.2886,AFF4h
0.4337,0.2902,AFF1
0.5614,0.2902,AFF2
0.4652,0.291,AFF1h
0.5299,0.291,AFF2h
0.4975,0.2919,AFFz
0.2313,0.3043,F7
0.7637,0.3043,F8
0.131,0.3109,FFT9
0.864,0.3109,FFT10
0.2612,0.3126,F7h
0.7338,0.3126,F8h
0.2927,0.3184,F5
0.7023,0.3184,F6
0.325,0.3234,F5h
0.67,0.3234,F6h
0.3582,0.3267,F3
0.6368,0.3267,F4
0.1675,0.3292,FFT9h
0.8275,0.3292,FFT10h
0.3922,0.33,F3h
0.6028,0.33,F4h
0.427,0.3317,F1
0.568,0.3317,F2
0.4627,0.3325,F1h
0.4975,0.3325,Fz
0.5323,0.3325,F2h
0.204,0.3483,FFT7
0.791,0.3483,FFT8
0.2388,0.3557,FFT7h
0.7562,0.3557,FFT8h
0.2745,0.3615,FFC5
0.7206,0.3615,FFC6
0.3109,0.3657,FFC5h
0.6841,0.3657,FFC6h
0.3474,0.369,FFC3
0.6476,0.369,FFC4
0.1061,0.3706,FT9
0.8889,0.3706,FT10
0.3847,0.3715,FFC3h
0.6103,0.3715,FFC4h
0.4221,0.3731,FFC1
0.573,0.3731,FFC2
0.4602,0.374,FFC1h
0.4975,0.374,FFCz
0.5348,0.374,FFC2h
0.1451,0.3831,FT9h
0.8499,0.3831,FT10h
0.1841,0.3955,FT7
0.8109,0.3955,FT8
0.2231,0.4022,FT7h
0.772,0.4022,FT8h
0.2612,0.4063,FC5
0.7338,0.4063,FC6
0.3002,0.4096,FC5h
0.6949,0.4096,FC6h
0.3391,0.4113,FC3
0.6559,0.4113,FC4
0.3789,0.4129,FC3h
0.6161,0.4129,FC4h
0.4187,0.4146,FC1
0.4577,0.4146,FC1h
0.5373,0.4146,FC2h
0.5763,0.4146,FC2
0.4975,0.4154,FCz
0.0912,0.4328,FTT9
0.9038,0.4328,FTT10
0.1318,0.4395,FTT9h
0.8632,0.4395,FTT10h
0.1725,0.4461,FTT7
0.8226,0.4461,FTT8
0.2131,0.4494,FTT7h
0.7819,0.4494,FTT8h
0.2529,0.4519,FCC5
0.7421,0.4519,FCC6
0.2935,0.4536,FCC5h
0.7015,0.4536,FCC6h
0.335,0.4544,FCC3
0.66,0.4544,FCC4
0.3756,0.4552,FCC3h
0.6194,0.4552,FCC4h
0.4163,0.4561,FCC1
0.4569,0.4561,FCC1h
0.4975,0.4561,FCCz
0.5381,0.4561,FCC2h
0.5788,0.4561,FCC2
0.0862,0.4975,T9
0.1269,0.4975,T9h
0.1683,0.4975,T7
0.2098,0.4975,T7h
0.2504,0.4975,C5
0.2919,0.4975,C5h
0.3325,0.4975,C3
0.374,0.4975,C3h
0.4154,0.4975,C1
0.4561,0.4975,C1h
0.4975,0.4975,Cz
0.539,0.4975,C2h
0.5796,0.4975,C2
0.6211,0.4975,C4h
0.6625,0.4975,C4
0.7032,0.4975,C6h
0.7446,0.4975,C6
0.7852,0.4975,T8h
0.8267,0.4975,T8
0.8682,0.4975,T10h
0.9088,0.4975,T10
0.4163,0.539,CCP1
0.4569,0.539,CCP1h
0.4975,0.539,CCPz
0.5381,0.539,CCP2h
0.5788,0.539,CCP2
0.3756,0.5398,CCP3h
0.6194,0.5398,CCP4h
0.335,0.5406,CCP3
0.66,0.5406,CCP4
0.2935,0.5415,CCP5h
0.7015,0.5415,CCP6h
0.2529,0.5431,CCP5
0.7421,0.5431,CCP6
0.2131,0.5456,TTP7h
0.7819,0.5456,TTP8h
0.1725,0.5489,TTP7
0.8226,0.5489,TTP8
0.1318,0.5556,TTP9h
0.8632,0.5556,TTP10h
0.0912,0.5622,TTP9
0.9038,0.5622,TTP10
0.4975,0.5796,CPz
0.4187,0.5804,CP1
0.4577,0.5804,CP1h
0.5373,0.5804,CP2h
0.5763,0.5804,CP2
0.3789,0.5821,CP3h
0.6161,0.5821,CP4h
0.3391,0.5837,CP3
0.6559,0.5837,CP4
0.3002,0.5854,CP5h
0.6949,0.5854,CP6h
0.2612,0.5887,CP5
0.7338,0.5887,CP6
0.2231,0.5929,TP7h
0.772,0.5929,TP8h
0.1841,0.5995,TP7
0.8109,0.5995,TP8
0.1451,0.6119,TP9h
0.8499,0.6119,TP10h
0.4602,0.6211,CPP1h
0.4975,0.6211,CPPz
0.5348,0.6211,CPP2h
0.4221,0.6219,CPP1
0.573,0.6219,CPP2
0.3847,0.6235,CPP3h
0.6103,0.6235,CPP4h
0.1061,0.6244,TP9
0.8889,0.6244,TP10
0.3474,0.626,CPP3
0.6476,0.626,CPP4
0.3109,0.6294,CPP5h
0.6841,0.6294,CPP6h
0.2745,0.6335,CPP5
0.7206,0.6335,CPP6
0.2388,0.6393,TPP7h
0.7562,0.6393,TPP8h
0.204,0.6468,TPP7
0.791,0.6468,TPP8
0.4627,0.6625,P1h
0.4975,0.6625,Pz
0.5323,0.6625,P2h
0.427,0.6633,P1
0.568,0.6633,P2
0.3922,0.665,P3h
0.6028,0.665,P4h
0.1675,0.6658,TPP9h
0.8275,0.6658,TPP10h
0.3582,0.6683,P3
0.6368,0.6683,P4
0.325,0.6716,P5h
0.67,0.6716,P6h
0.2927,0.6766,P5
0.7023,0.6766,P6
0.2612,0.6824,P7h
0.7338,0.6824,P8h
0.131,0.6841,TPP9
0.864,0.6841,TPP10
0.2313,0.6907,P7
0.7637,0.6907,P8
0.4975,0.7032,PPOz
0.4652,0.704,PPO1h
0.5299,0.704,PPO2h
0.4337,0.7048,PPO1
0.5614,0.7048,PPO2
0.4022,0.7065,PPO3h
0.5929,0.7065,PPO4h
0.3723,0.709,PPO3
0.6227,0.709,PPO4
0.3433,0.7131,PPO5h
0.6517,0.7131,PPO6h
0.1982,0.7156,P9h
0.7968,0.7156,P10h
0.3151,0.7172,PPO5
0.6799,0.7172,PPO6
0.2894,0.7231,PPO7h
0.7056,0.7231,PPO8h
0.2645,0.7305,PPO7
0.7305,0.7305,PPO8
0.165,0.7396,P9
0.83,0.7396,P10
0.4693,0.7446,PO1h
0.4975,0.7446,POz
0.5257,0.7446,PO2h
0.4411,0.7454,PO1
0.5539,0.7454,PO2
0.4146,0.7471,PO3h
0.5804,0.7471,PO4h
0.3889,0.7496,PO3
0.6061,0.7496,PO4
0.3657,0.7521,PO5h
0.6294,0.7521,PO6h
0.3433,0.7554,PO5
0.6517,0.7554,PO6
0.2355,0.7595,PPO9h
0.7595,0.7595,PPO10h
0.3043,0.7637,PO7
0.6907,0.7637,PO8
0.4975,0.7852,POOz
0.4511,0.7861,POO1
0.5439,0.7861,POO2
0.4104,0.7869,POO3
0.5846,0.7869,POO4
0.2065,0.7886,PPO9
0.3765,0.7886,POO5
0.6186,0.7886,POO6
0.7886,0.7886,PPO10
0.3483,0.791,POO7
0.6468,0.791,POO8
0.2794,0.7968,PO9h
0.7156,0.7968,PO10h
0.3955,0.8109,O1
0.5995,0.8109,O2
0.4461,0.8226,O1h
0.5489,0.8226,O2h
0.4975,0.8267,Oz
0.3292,0.8275,POO9h
0.6658,0.8275,POO10h
0.2554,0.83,PO9
0.7396,0.83,PO10
0.3831,0.8499,OI1
0.6119,0.8499,OI2
0.4395,0.8632,OI1h
0.5556,0.8632,OI2h
0.3109,0.864,POO9
0.6841,0.864,POO10
0.4975,0.8682,OIz
0.3706,0.8889,I1
0.6244,0.8889,I2
0.4328,0.9038,I1h
0.5622,0.9038,I2h
0.4975,0.9088,Iz
0.3061,0.2310,AF7
0.6921,0.2310,AF8
0.3238,0.7585,PO7h
0.6731,0.7585,PO8h
